"","dailyPrTempNapa","date"
"727",19.3490575727656,"X1981.12.28"
"728",37.3786535394301,"X1981.12.29"
"729",2.33471709798056,"X1981.12.30"
"730",10.2841192106588,"X1981.12.31"
"731",12.2593495944224,"X1982.01.01"
"732",21.1331560269272,"X1982.01.02"
"733",48.4475041923173,"X1982.01.03"
"734",84.7908910086395,"X1982.01.04"
"735",2.44509851823159,"X1982.01.05"
"736",0,"X1982.01.06"
"737",0,"X1982.01.07"
"738",0,"X1982.01.08"
"739",0,"X1982.01.09"
"740",0,"X1982.01.10"
"741",0,"X1982.01.11"
"742",0,"X1982.01.12"
"743",0,"X1982.01.13"
"744",0,"X1982.01.14"
"745",0,"X1982.01.15"
"746",0,"X1982.01.16"
"747",0,"X1982.01.17"
"748",7.89208134270589,"X1982.01.18"
"749",20.1243193062074,"X1982.01.19"
"750",16.955517414513,"X1982.01.20"
"751",0.143252511090095,"X1982.01.21"
"752",0,"X1982.01.22"
"753",0.07557151009491,"X1982.01.23"
"754",0,"X1982.01.24"
"755",10.4086062011369,"X1982.01.25"
"756",7.41420603235927,"X1982.01.26"
"757",7.7438649048499,"X1982.01.27"
"758",7.70409414746346,"X1982.01.28"
"759",0,"X1982.01.29"
"760",0,"X1982.01.30"
"761",0,"X1982.01.31"
"762",0,"X1982.02.01"
"763",0,"X1982.02.02"
"764",0,"X1982.02.03"
"765",0,"X1982.02.04"
"766",0,"X1982.02.05"
"767",0,"X1982.02.06"
"768",0,"X1982.02.07"
"769",0,"X1982.02.08"
"770",0,"X1982.02.09"
"771",0,"X1982.02.10"
"772",0,"X1982.02.11"
"773",9.80869903777717,"X1982.02.12"
"774",27.3341298212699,"X1982.02.13"
"775",43.2239434434733,"X1982.02.14"
"776",52.3147887658635,"X1982.02.15"
"777",12.0863950405646,"X1982.02.16"
"778",0.35298002919838,"X1982.02.17"
"779",0,"X1982.02.18"
"780",0,"X1982.02.19"
"781",0,"X1982.02.20"
"782",0,"X1982.02.21"
"783",0,"X1982.02.22"
"784",0,"X1982.02.23"
"785",0,"X1982.02.24"
"786",0,"X1982.02.25"
"787",5.94819767622773,"X1982.02.26"
